BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class
BGC0001300.1	BGC0001300.1	Anthracimycin biosynthetic gene cluster	transatpks	PKSother
BGC0001301.1	BGC0001301.1	Anthracimycin biosynthetic gene cluster	transatpks	PKSother
BGC0001310.1	BGC0001310.1	Naringenin biosynthetic gene cluster	t3pks	PKSother
BGC0001350.1	BGC0001350.1	Phormidolide biosynthetic gene cluster	t2pks-transatpks	PKSother
BGC0001357.1	BGC0001357.1	Carbamidocyclophane biosynthetic gene cluster	t1pks-t2pks-t3pks	PKSother
BGC0001366.1	BGC0001366.1	BE-24566B / zunyimycin A biosynthetic gene cluster	t2pks	PKSother
BGC0001376.1	BGC0001376.1	Hexaricin biosynthetic gene cluster	t2pks	PKSother
BGC0001383.1	BGC0001383.1	Macrolactin biosynthetic gene cluster	transatpks	PKSother
BGC0001386.1	BGC0001386.1	Isofuranonaphthoquinone biosynthetic gene cluster	t2pks	PKSother
BGC0001409.1	BGC0001409.1	Dutomycin biosynthetic gene cluster	t2pks-t1pks	PKSother
