BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class
BGC0000493.1	BGC0000493.1	Leucocyclicin Q biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000494.1	BGC0000494.1	Uberolysin biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000495.1	BGC0000495.1	Actagardine biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000496.1	BGC0000496.1	AmfS biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000497.1	BGC0000497.1	BhtA1 / BhtA2 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000498.1	BGC0000498.1	Bovicin HJ50 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000499.1	BGC0000499.1	Butyrivibriocin OR79 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000500.1	BGC0000500.1	Carnolysin A1 / carnolysin A2 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000501.1	BGC0000501.1	Catenulipeptin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000502.1	BGC0000502.1	Cerecidin / cerecidin A1 / cerecidin A2 / cerecidin A3 / cerecidin A4 / cerecidin A5 / cerecidin A6 / cerecidin A7 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000503.1	BGC0000503.1	Cinnamycin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000504.1	BGC0000504.1	Cytolysin ClyLl / cytolysin ClyLs biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000505.1	BGC0000505.1	Enterocin W alpha / enterocin W beta biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000506.1	BGC0000506.1	Entianin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000507.1	BGC0000507.1	Epicidin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000508.1	BGC0000508.1	Epidermin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000509.1	BGC0000509.1	Epilancin 15X biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000511.1	BGC0000511.1	Ericin A biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000514.1	BGC0000514.1	Gallidermin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000515.1	BGC0000515.1	Geobacillin I biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000516.1	BGC0000516.1	Geobacillin II biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000517.1	BGC0000517.1	Haloduracin alpha / haloduracin beta biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000518.1	BGC0000518.1	Informatipeptin biosynthetic gene cluster	bacteriocin-lantipeptide	RiPPs
BGC0000519.1	BGC0000519.1	Labyrinthopeptin A1,A3 / labyrinthopeptin A2 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000520.1	BGC0000520.1	Lacticin 3147 A1 / lacticin 3147 A2 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000521.1	BGC0000521.1	Lacticin 481 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000522.1	BGC0000522.1	Lacticin Z biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000523.1	BGC0000523.1	Lactocin S biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000525.1	BGC0000525.1	Lichenicidin VK21 A1 / lichenicidin VK21 A2 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000526.1	BGC0000526.1	Macedocin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000527.1	BGC0000527.1	Mersacidin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000528.1	BGC0000528.1	Michiganin A biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000529.1	BGC0000529.1	Microbisporicin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000530.1	BGC0000530.1	Mutacin B-Ny266 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000531.1	BGC0000531.1	Mutacin I biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000532.1	BGC0000532.1	Mutacin II biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000533.1	BGC0000533.1	Mutacin III biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000534.1	BGC0000534.1	Mutacin K8 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000535.1	BGC0000535.1	Nisin A biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000536.1	BGC0000536.1	Nisin Q biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000537.1	BGC0000537.1	Nisin U biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000538.1	BGC0000538.1	Nisin Z biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000539.1	BGC0000539.1	Nukacin ISK-1 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000540.1	BGC0000540.1	Paenibacillin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000541.1	BGC0000541.1	Paenicidin A biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000542.1	BGC0000542.1	Paenicidin B biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000543.1	BGC0000543.1	Pep5 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000544.1	BGC0000544.1	Planosporicin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000545.1	BGC0000545.1	Ruminococcin A biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000546.1	BGC0000546.1	SAL-2242 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000547.1	BGC0000547.1	Salivaricin 9 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000548.1	BGC0000548.1	Salivaricin A biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000549.1	BGC0000549.1	Salivaricin D biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000550.1	BGC0000550.1	Salivaricin G32 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000551.1	BGC0000551.1	SapB biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000552.1	BGC0000552.1	Smb A / Smb B biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000554.1	BGC0000554.1	SRO15-3108 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000555.1	BGC0000555.1	Staphylococcin C55 alpha / staphylococcin C55 beta biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000556.1	BGC0000556.1	Streptin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000557.1	BGC0000557.1	Streptococcin A-FF22 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000558.1	BGC0000558.1	Sublancin 168 biosynthetic gene cluster	glycocin	RiPPs
BGC0000559.1	BGC0000559.1	Subtilin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000560.1	BGC0000560.1	Subtilomycin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000561.1	BGC0000561.1	Thermophilin 1277 biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000562.1	BGC0000562.1	Variacin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000563.1	BGC0000563.1	Venezuelin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000564.1	BGC0000564.1	Clostridiolysin S biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000565.1	BGC0000565.1	Goadsporin biosynthetic gene cluster	thiopeptide-bacteriocin	RiPPs
BGC0000566.1	BGC0000566.1	Streptolysin S biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000572.1	BGC0000572.1	Capistruin biosynthetic gene cluster	lassopeptide	RiPPs
BGC0000581.1	BGC0000581.1	Microcin J25 biosynthetic gene cluster	microcin	RiPPs
BGC0000582.1	BGC0000582.1	Cypemycin biosynthetic gene cluster	linaridin	RiPPs
BGC0000583.1	BGC0000583.1	Grisemycin biosynthetic gene cluster	linaridin	RiPPs
BGC0000591.1	BGC0000591.1	Marinostatin biosynthetic gene cluster	microviridin	RiPPs
BGC0000592.1	BGC0000592.1	Microviridin B biosynthetic gene cluster	microviridin	RiPPs
BGC0000593.1	BGC0000593.1	Microviridin B biosynthetic gene cluster	microviridin	RiPPs
BGC0000594.1	BGC0000594.1	Microviridin K biosynthetic gene cluster	microviridin	RiPPs
BGC0000598.1	BGC0000598.1	Polytheonamides biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000599.1	BGC0000599.1	Thuricin CD alfa / thuricin CD beta biosynthetic gene cluster	sactipeptide	RiPPs
BGC0000600.1	BGC0000600.1	Thurincin H biosynthetic gene cluster	sactipeptide	RiPPs
BGC0000601.1	BGC0000601.1	Sporulation killing factor skfA biosynthetic gene cluster	head_to_tail	RiPPs
BGC0000602.1	BGC0000602.1	Subtilosin A biosynthetic gene cluster	sactipeptide	RiPPs
BGC0000603.1	BGC0000603.1	Cyclothiazomycin biosynthetic gene cluster	thiopeptide-lantipeptide	RiPPs
BGC0000604.1	BGC0000604.1	GE2270 biosynthetic gene cluster	thiopeptide-lantipeptide	RiPPs
BGC0000605.1	BGC0000605.1	GE37468 biosynthetic gene cluster	thiopeptide	RiPPs
BGC0000606.1	BGC0000606.1	Lactazole biosynthetic gene cluster	lantipeptide-thiopeptide	RiPPs
BGC0000607.1	BGC0000607.1	Micrococcin P1 biosynthetic gene cluster	thiopeptide-lantipeptide	RiPPs
BGC0000608.1	BGC0000608.1	Nocathiacin biosynthetic gene cluster	thiopeptide	RiPPs
BGC0000609.1	BGC0000609.1	Nocathiacin biosynthetic gene cluster	thiopeptide-lantipeptide	RiPPs
BGC0000610.1	BGC0000610.1	Nosiheptide biosynthetic gene cluster	thiopeptide-lantipeptide	RiPPs
BGC0000612.1	BGC0000612.1	Thiocillin I / thiocillin II biosynthetic gene cluster	thiopeptide-lantipeptide	RiPPs
BGC0000613.1	BGC0000613.1	Thiomuracins biosynthetic gene cluster	thiopeptide	RiPPs
BGC0000614.1	BGC0000614.1	Thiostrepton biosynthetic gene cluster	thiopeptide	RiPPs
BGC0000615.1	BGC0000615.1	TP-1161 biosynthetic gene cluster	thiopeptide-lantipeptide	RiPPs
BGC0000616.1	BGC0000616.1	Amylocyclicin biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000617.1	BGC0000617.1	Coagulin biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000618.1	BGC0000618.1	Enterocin A biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000619.1	BGC0000619.1	Gassericin T biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000620.1	BGC0000620.1	Lacticin Q biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000623.1	BGC0000623.1	Plantaricin W alpha / plantaricin W beta biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000624.1	BGC0000624.1	Salivaricin CRL1328 alpha peptide / salivaricin CRL1328 beta peptide biosynthetic gene cluster	bacteriocin	RiPPs
BGC0000626.1	BGC0000626.1	Thuricin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0000628.1	BGC0000628.1	Lactocillin biosynthetic gene cluster	thiopeptide	RiPPs
BGC0000874.1	BGC0000874.1	Blasticidin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0001145.1	BGC0001145.1	Cyclothiazomycin B biosynthetic gene cluster	thiopeptide-lantipeptide	RiPPs
BGC0001146.1	BGC0001146.1	Cyclothiazomycin C biosynthetic gene cluster	thiopeptide-lantipeptide	RiPPs
BGC0001155.1	BGC0001155.1	GE2270 biosynthetic gene cluster	thiopeptide-lantipeptide	RiPPs
BGC0001157.1	BGC0001157.1	Bottromycin biosynthetic gene cluster	bacteriocin-bottromycin	RiPPs
BGC0001167.1	BGC0001167.1	Piricyclamide biosynthetic gene cluster	cyanobactin	RiPPs
BGC0001170.1	BGC0001170.1	Clostridiolysin S biosynthetic gene cluster	bacteriocin	RiPPs
BGC0001171.1	BGC0001171.1	Listeriolysin S biosynthetic gene cluster	bacteriocin	RiPPs
BGC0001188.1	BGC0001188.1	Legonaridin biosynthetic gene cluster	linaridin	RiPPs
BGC0001210.1	BGC0001210.1	Pseudomycoicidin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0001222.1	BGC0001222.1	Acidocin B biosynthetic gene cluster	bacteriocin	RiPPs
BGC0001226.1	BGC0001226.1	Streptocollin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0001229.1	BGC0001229.1	SBI_06990 alpha / SBI_06989 beta biosynthetic gene cluster	lantipeptide	RiPPs
BGC0001289.1	BGC0001289.1	Penisin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0001291.1	BGC0001291.1	Enterocin NKR-5-3B biosynthetic gene cluster	bacteriocin	RiPPs
BGC0001311.1	BGC0001311.1	Flavecin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0001364.1	BGC0001364.1	Cinnamycin B biosynthetic gene cluster	bacteriocin-lantipeptide	RiPPs
BGC0001388.1	BGC0001388.1	Gassericin E biosynthetic gene cluster	bacteriocin	RiPPs
BGC0001391.1	BGC0001391.1	Thusin biosynthetic gene cluster	lantipeptide	RiPPs
BGC0001392.1	BGC0001392.1	Pinensins biosynthetic gene cluster	lantipeptide	RiPPs
BGC0001407.1	BGC0001407.1	Bicereucin biosynthetic gene cluster	linaridin	RiPPs
