BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class
BGC0000966.1	BGC0000966.1	Caerulomycin A biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000967.1	BGC0000967.1	Calyculin biosynthetic gene cluster	t2pks-nrps-transatpks	PKS-NRP_Hybrids
BGC0000968.1	BGC0000968.1	Chaetoglobosin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000969.1	BGC0000969.1	Chondramide biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000970.1	BGC0000970.1	Chondrochloren biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000971.1	BGC0000971.1	Cinnabaramide biosynthetic gene cluster	nrps-t1pks-transatpks	PKS-NRP_Hybrids
BGC0000972.1	BGC0000972.1	Colibactin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000973.1	BGC0000973.1	Collismycin A biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000974.1	BGC0000974.1	Crocacin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000975.1	BGC0000975.1	Cryptophycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000976.1	BGC0000976.1	Curacin biosynthetic gene cluster	t1pks-nrps-t2pks	PKS-NRP_Hybrids
BGC0000982.1	BGC0000982.1	Cystothiazole A biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000983.1	BGC0000983.1	Cytochalasin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000984.1	BGC0000984.1	Delftibactin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000988.1	BGC0000988.1	Epothilone biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000989.1	BGC0000989.1	Epothilone biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000990.1	BGC0000990.1	Epothilone biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000991.1	BGC0000991.1	Epothilone biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000994.1	BGC0000994.1	FK520 biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0000995.1	BGC0000995.1	FR901464 biosynthetic gene cluster	nrps-transatpks-t2pks	PKS-NRP_Hybrids
BGC0000996.1	BGC0000996.1	Frontalamides biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000997.1	BGC0000997.1	Glidobactin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000998.1	BGC0000998.1	Guadinomine biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0000999.1	BGC0000999.1	Heat-stable antifungal factor biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001000.1	BGC0001000.1	Hectochlorin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001001.1	BGC0001001.1	Jamaicamide biosynthetic gene cluster	t1pks-t2pks-nrps	PKS-NRP_Hybrids
BGC0001002.1	BGC0001002.1	Jawsamycin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001003.1	BGC0001003.1	Lipomycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001005.1	BGC0001005.1	Locillomycin biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001008.1	BGC0001008.1	Maduropeptin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001009.1	BGC0001009.1	Melithiazol biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001010.1	BGC0001010.1	Melithiazol biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001011.1	BGC0001011.1	Meridamycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001012.1	BGC0001012.1	Meridamycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001013.1	BGC0001013.1	Meridamycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001014.1	BGC0001014.1	Micacocidin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001015.1	BGC0001015.1	Microcystin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001016.1	BGC0001016.1	Microcystin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001017.1	BGC0001017.1	Microcystin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001019.1	BGC0001019.1	Microsclerodermins biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001022.1	BGC0001022.1	Myxalamid biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001023.1	BGC0001023.1	Myxochromide biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001024.1	BGC0001024.1	Myxothiazol biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001025.1	BGC0001025.1	Myxovirescin biosynthetic gene cluster	transatpks-nrps-t2pks	PKS-NRP_Hybrids
BGC0001026.1	BGC0001026.1	NG-391 biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001028.1	BGC0001028.1	Nostopeptolide biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001029.1	BGC0001029.1	Nostophycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001033.1	BGC0001033.1	Paenilamicin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001034.1	BGC0001034.1	Pellasoren biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001035.1	BGC0001035.1	Pneumocandin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001036.1	BGC0001036.1	Polyoxypeptin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001037.1	BGC0001037.1	Pseurotin A biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001039.1	BGC0001039.1	Pyridomycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001040.1	BGC0001040.1	Rapamycin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001041.1	BGC0001041.1	Salinosporamide biosynthetic gene cluster	transatpks-nrps-t1pks	PKS-NRP_Hybrids
BGC0001042.1	BGC0001042.1	Sanglifehrin A biosynthetic gene cluster	nrps-t1pks-hglks	PKS-NRP_Hybrids
BGC0001043.1	BGC0001043.1	SGR PTMs biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001047.1	BGC0001047.1	Syringolin A biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001048.1	BGC0001048.1	Tallysomycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001049.1	BGC0001049.1	Tenellin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001051.1	BGC0001051.1	Thuggacin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001052.1	BGC0001052.1	Tirandamycin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001053.1	BGC0001053.1	Tubulysin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001054.1	BGC0001054.1	Xenocoumacin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001055.1	BGC0001055.1	Yersiniabactin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001056.1	BGC0001056.1	Zeamine biosynthetic gene cluster	hglks-nrps-t1pks	PKS-NRP_Hybrids
BGC0001057.1	BGC0001057.1	Zearalenone biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001059.1	BGC0001059.1	Zwittermycin A biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001069.1	BGC0001069.1	Chivosazole biosynthetic gene cluster	transatpks-t1pks-nrps	PKS-NRP_Hybrids
BGC0001070.1	BGC0001070.1	Kirromycin biosynthetic gene cluster	transatpks-nrps-t1pks	PKS-NRP_Hybrids
BGC0001071.1	BGC0001071.1	Nosperin biosynthetic gene cluster	transatpks-nrps-t1pks-t2pks	PKS-NRP_Hybrids
BGC0001088.1	BGC0001088.1	Albicidin biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001089.1	BGC0001089.1	Bacillaene biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001090.1	BGC0001090.1	Bacillomycin biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001092.1	BGC0001092.1	Diaphorin biosynthetic gene cluster	nrps-transatpks-t2pks-transatpks	PKS-NRP_Hybrids
BGC0001093.1	BGC0001093.1	Disorazole biosynthetic gene cluster	transatpks-nrps	PKS-NRP_Hybrids
BGC0001096.1	BGC0001096.1	FR901464 biosynthetic gene cluster	nrps-transatpks-t2pks	PKS-NRP_Hybrids
BGC0001098.1	BGC0001098.1	Iturin biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001099.1	BGC0001099.1	Kalimantacin / batumin biosynthetic gene cluster	transatpks-nrps-t2pks	PKS-NRP_Hybrids
BGC0001101.1	BGC0001101.1	Leinamycin biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001102.1	BGC0001102.1	Malleilactone biosynthetic gene cluster	nrps-t1pks-transatpks	PKS-NRP_Hybrids
BGC0001103.1	BGC0001103.1	Mycosubtilin biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001105.1	BGC0001105.1	Onnamide biosynthetic gene cluster	transatpks-nrps	PKS-NRP_Hybrids
BGC0001106.1	BGC0001106.1	Oxazolomycin biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001108.1	BGC0001108.1	Pederin biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001109.1	BGC0001109.1	Pederin biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001110.1	BGC0001110.1	Psymberin biosynthetic gene cluster	transatpks-nrps-t2pks	PKS-NRP_Hybrids
BGC0001111.1	BGC0001111.1	Rhizopodins biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001112.1	BGC0001112.1	Rhizoxins biosynthetic gene cluster	nrps-transatpks	PKS-NRP_Hybrids
BGC0001113.1	BGC0001113.1	Spliceostatin / FR901464 biosynthetic gene cluster	nrps-transatpks-t2pks	PKS-NRP_Hybrids
BGC0001114.1	BGC0001114.1	Thailanstatin biosynthetic gene cluster	nrps-transatpks-t2pks	PKS-NRP_Hybrids
BGC0001115.1	BGC0001115.1	Thiomarinol biosynthetic gene cluster	transatpks-t2pks-nrps	PKS-NRP_Hybrids
BGC0001116.1	BGC0001116.1	Virginiamycin biosynthetic gene cluster	nrps-transatpks-t2pks	PKS-NRP_Hybrids
BGC0001122.1	BGC0001122.1	Isoflavipucine biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001125.1	BGC0001125.1	Puwainaphycins biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001136.1	BGC0001136.1	Desmethylbassianin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001165.1	BGC0001165.1	Curacin biosynthetic gene cluster	t1pks-t2pks-nrps	PKS-NRP_Hybrids
BGC0001178.1	BGC0001178.1	UK-68,597 biosynthetic gene cluster	nrps-t3pks	PKS-NRP_Hybrids
BGC0001182.1	BGC0001182.1	Chaetoglobosins biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001187.1	BGC0001187.1	Xenolozoyenone biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001195.1	BGC0001195.1	Nocardiopsin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001202.1	BGC0001202.1	Landepoxcin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001203.1	BGC0001203.1	Clarexpoxcin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001212.1	BGC0001212.1	Nannocystin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001216.1	BGC0001216.1	Splenocin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001218.1	BGC0001218.1	Fumosorinone biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001230.1	BGC0001230.1	Salinamides biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001231.1	BGC0001231.1	Microsclerodermins biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001233.1	BGC0001233.1	Feglymycin biosynthetic gene cluster	t3pks-nrps	PKS-NRP_Hybrids
BGC0001235.1	BGC0001235.1	Antalid biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001236.1	BGC0001236.1	Thiotetroamide biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001237.1	BGC0001237.1	Thiolactomycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001255.1	BGC0001255.1	Equisetin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001268.1	BGC0001268.1	Fusarin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001290.1	BGC0001290.1	Emericellamide A / emericellamide B biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001342.1	BGC0001342.1	Thuggacin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001344.1	BGC0001344.1	Tubulysin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001351.1	BGC0001351.1	Cahuitamycins biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001352.1	BGC0001352.1	Thiotetronate Tü 3010 biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001353.1	BGC0001353.1	Thiolactomycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001354.1	BGC0001354.1	U-68204 biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001355.1	BGC0001355.1	U-68204 biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001358.1	BGC0001358.1	Leucinostatins biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids
BGC0001363.1	BGC0001363.1	Ralsolamycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001367.1	BGC0001367.1	Haliamide biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001394.1	BGC0001394.1	Phenalamide biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001397.1	BGC0001397.1	Lidamycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
BGC0001415.1	BGC0001415.1	Althiomycin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids
