BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class
BGC0000035.1	BGC0000035.1	Chalcomycin biosynthetic gene cluster	t1pks	PKSI
BGC0000036.1	BGC0000036.1	Chlorothricin biosynthetic gene cluster	t1pks	PKSI
BGC0000037.1	BGC0000037.1	Cichorine biosynthetic gene cluster	t1pks	PKSI
BGC0000039.1	BGC0000039.1	Compactin biosynthetic gene cluster	t1pks	PKSI
BGC0000040.1	BGC0000040.1	Concanamycin A biosynthetic gene cluster	t1pks	PKSI
BGC0000041.1	BGC0000041.1	Coronafacic acid biosynthetic gene cluster	t1pks	PKSI
BGC0000042.1	BGC0000042.1	Cremimycin biosynthetic gene cluster	t1pks	PKSI
BGC0000043.1	BGC0000043.1	Curacin A biosynthetic gene cluster	t1pks	PKSI
BGC0000044.1	BGC0000044.1	Dawenol biosynthetic gene cluster	t1pks	PKSI
BGC0000045.1	BGC0000045.1	Dehydrocurvularin biosynthetic gene cluster	t1pks	PKSI
BGC0000046.1	BGC0000046.1	Depudecin biosynthetic gene cluster	t1pks	PKSI
BGC0000047.1	BGC0000047.1	Dihydrochalcomycin biosynthetic gene cluster	t1pks	PKSI
BGC0000048.1	BGC0000048.1	Dothistromin biosynthetic gene cluster	t1pks	PKSI
BGC0000049.1	BGC0000049.1	E-492 / E-975 biosynthetic gene cluster	t1pks	PKSI
BGC0000050.1	BGC0000050.1	E-837 biosynthetic gene cluster	t1pks	PKSI
BGC0000051.1	BGC0000051.1	Ebelactone biosynthetic gene cluster	t1pks	PKSI
BGC0000052.1	BGC0000052.1	ECO-02301 biosynthetic gene cluster	t1pks	PKSI
BGC0000053.1	BGC0000053.1	Elaiophylin biosynthetic gene cluster	t1pks	PKSI
BGC0000054.1	BGC0000054.1	Erythromycin biosynthetic gene cluster	t1pks	PKSI
BGC0000055.1	BGC0000055.1	Erythromycin biosynthetic gene cluster	t1pks	PKSI
BGC0000056.1	BGC0000056.1	Esperamicin biosynthetic gene cluster	t1pks	PKSI
BGC0000057.1	BGC0000057.1	F9775 biosynthetic gene cluster	t1pks	PKSI
BGC0000058.1	BGC0000058.1	FD-891 biosynthetic gene cluster	t1pks	PKSI
BGC0000059.1	BGC0000059.1	Filipin biosynthetic gene cluster	t1pks	PKSI
BGC0000060.1	BGC0000060.1	Fostriecin biosynthetic gene cluster	t1pks	PKSI
BGC0000061.1	BGC0000061.1	FR-008 biosynthetic gene cluster	t1pks	PKSI
BGC0000066.1	BGC0000066.1	Geldanamycin biosynthetic gene cluster	t1pks	PKSI
BGC0000067.1	BGC0000067.1	Geldanamycin biosynthetic gene cluster	t1pks	PKSI
BGC0000068.1	BGC0000068.1	Geldanamycin biosynthetic gene cluster	t1pks	PKSI
BGC0000069.1	BGC0000069.1	Gephyronic acid biosynthetic gene cluster	t1pks	PKSI
BGC0000070.1	BGC0000070.1	Griseofulvin biosynthetic gene cluster	t1pks	PKSI
BGC0000072.1	BGC0000072.1	Gulmirecin biosynthetic gene cluster	t1pks	PKSI
BGC0000073.1	BGC0000073.1	Halstoctacosanolide biosynthetic gene cluster	t1pks	PKSI
BGC0000074.1	BGC0000074.1	Herbimycin biosynthetic gene cluster	t1pks	PKSI
BGC0000075.1	BGC0000075.1	Hygrocin biosynthetic gene cluster	t1pks	PKSI
BGC0000076.1	BGC0000076.1	Hypothemycin biosynthetic gene cluster	t1pks	PKSI
BGC0000077.1	BGC0000077.1	Hypothemycin biosynthetic gene cluster	t1pks	PKSI
BGC0000079.1	BGC0000079.1	Indanomycin biosynthetic gene cluster	t1pks	PKSI
BGC0000080.1	BGC0000080.1	Jerangolid biosynthetic gene cluster	t1pks	PKSI
BGC0000084.1	BGC0000084.1	Laidlomycin biosynthetic gene cluster	t1pks	PKSI
BGC0000085.1	BGC0000085.1	Lankamycin biosynthetic gene cluster	t1pks	PKSI
BGC0000086.1	BGC0000086.1	Lasalocid biosynthetic gene cluster	t1pks	PKSI
BGC0000087.1	BGC0000087.1	Lasalocid biosynthetic gene cluster	t1pks	PKSI
BGC0000089.1	BGC0000089.1	Lovastatin biosynthetic gene cluster	t1pks	PKSI
BGC0000090.1	BGC0000090.1	Macbecin biosynthetic gene cluster	t1pks	PKSI
BGC0000091.1	BGC0000091.1	Marineosin biosynthetic gene cluster	t1pks	PKSI
BGC0000092.1	BGC0000092.1	Megalomicin biosynthetic gene cluster	t1pks	PKSI
BGC0000093.1	BGC0000093.1	Meilingmycin biosynthetic gene cluster	t1pks	PKSI
BGC0000094.1	BGC0000094.1	Methymycin / pikromycin biosynthetic gene cluster	t1pks	PKSI
BGC0000096.1	BGC0000096.1	Midecamycin biosynthetic gene cluster	t1pks	PKSI
BGC0000097.1	BGC0000097.1	ML-449 biosynthetic gene cluster	t1pks	PKSI
BGC0000098.1	BGC0000098.1	Monacolin K biosynthetic gene cluster	t1pks	PKSI
BGC0000099.1	BGC0000099.1	Monascorubrin biosynthetic gene cluster	t1pks	PKSI
BGC0000100.1	BGC0000100.1	Monensin biosynthetic gene cluster	t1pks	PKSI
BGC0000102.1	BGC0000102.1	Mycinamicin biosynthetic gene cluster	t1pks	PKSI
BGC0000103.1	BGC0000103.1	Mycolactone biosynthetic gene cluster	t1pks	PKSI
BGC0000104.1	BGC0000104.1	Mycophenolic acid biosynthetic gene cluster	t1pks	PKSI
BGC0000105.1	BGC0000105.1	Nanchangmycin biosynthetic gene cluster	t1pks	PKSI
BGC0000106.1	BGC0000106.1	Naphthomycin biosynthetic gene cluster	t1pks	PKSI
BGC0000107.1	BGC0000107.1	Naphthopyrone biosynthetic gene cluster	t1pks	PKSI
BGC0000108.1	BGC0000108.1	Natamycin biosynthetic gene cluster	t1pks	PKSI
BGC0000109.1	BGC0000109.1	Nemadectin biosynthetic gene cluster	t1pks	PKSI
BGC0000110.1	BGC0000110.1	Neoaureothin biosynthetic gene cluster	t1pks	PKSI
BGC0000111.1	BGC0000111.1	Neocarzilin biosynthetic gene cluster	t1pks	PKSI
BGC0000113.1	BGC0000113.1	Niddamycin biosynthetic gene cluster	t1pks	PKSI
BGC0000114.1	BGC0000114.1	Nigericin biosynthetic gene cluster	t1pks	PKSI
BGC0000115.1	BGC0000115.1	Nystatin biosynthetic gene cluster	t1pks	PKSI
BGC0000116.1	BGC0000116.1	Nystatin-like Pseudonocardia polyene biosynthetic gene cluster	t1pks	PKSI
BGC0000117.1	BGC0000117.1	Oligomycin biosynthetic gene cluster	t1pks	PKSI
BGC0000118.1	BGC0000118.1	Pactamycin biosynthetic gene cluster	t1pks	PKSI
BGC0000119.1	BGC0000119.1	Pactamycin biosynthetic gene cluster	t1pks	PKSI
BGC0000120.1	BGC0000120.1	Patulin biosynthetic gene cluster	t1pks	PKSI
BGC0000121.1	BGC0000121.1	Pestheic acid biosynthetic gene cluster	t1pks	PKSI
BGC0000122.1	BGC0000122.1	Phenylnannolone A biosynthetic gene cluster	t1pks	PKSI
BGC0000123.1	BGC0000123.1	Phoslactomycin B biosynthetic gene cluster	t1pks	PKSI
BGC0000124.1	BGC0000124.1	Piericidin A1 biosynthetic gene cluster	t1pks	PKSI
BGC0000125.1	BGC0000125.1	Pimaricin biosynthetic gene cluster	t1pks	PKSI
BGC0000126.1	BGC0000126.1	Pladienolide biosynthetic gene cluster	t1pks	PKSI
BGC0000127.1	BGC0000127.1	Pyoluteorin biosynthetic gene cluster	t1pks	PKSI
BGC0000128.1	BGC0000128.1	Pyoluteorin biosynthetic gene cluster	t1pks	PKSI
BGC0000129.1	BGC0000129.1	Pyripyropene biosynthetic gene cluster	t1pks	PKSI
BGC0000130.1	BGC0000130.1	Pyrrolomycin biosynthetic gene cluster	t1pks	PKSI
BGC0000132.1	BGC0000132.1	Pyrrolomycin biosynthetic gene cluster	t1pks	PKSI
BGC0000133.1	BGC0000133.1	Quartromicin biosynthetic gene cluster	t1pks	PKSI
BGC0000134.1	BGC0000134.1	Radicicol biosynthetic gene cluster	t1pks	PKSI
BGC0000135.1	BGC0000135.1	Reveromycin biosynthetic gene cluster	t1pks	PKSI
BGC0000136.1	BGC0000136.1	Rifamycin biosynthetic gene cluster	t1pks	PKSI
BGC0000137.1	BGC0000137.1	Rifamycin biosynthetic gene cluster	t1pks	PKSI
BGC0000138.1	BGC0000138.1	Rimocidin biosynthetic gene cluster	t1pks	PKSI
BGC0000140.1	BGC0000140.1	RK-682 biosynthetic gene cluster	t1pks	PKSI
BGC0000142.1	BGC0000142.1	Salinilactam biosynthetic gene cluster	t1pks	PKSI
BGC0000143.1	BGC0000143.1	Salinomycin biosynthetic gene cluster	t1pks	PKSI
BGC0000146.1	BGC0000146.1	Solanapyrone biosynthetic gene cluster	t1pks	PKSI
BGC0000147.1	BGC0000147.1	Soraphen biosynthetic gene cluster	t1pks	PKSI
BGC0000148.1	BGC0000148.1	Spinosad biosynthetic gene cluster	t1pks	PKSI
BGC0000149.1	BGC0000149.1	Spirangien biosynthetic gene cluster	t1pks	PKSI
BGC0000151.1	BGC0000151.1	Stambomycin biosynthetic gene cluster	t1pks	PKSI
BGC0000152.1	BGC0000152.1	Sterigmatocystin biosynthetic gene cluster	t1pks	PKSI
BGC0000153.1	BGC0000153.1	Stigmatellin biosynthetic gene cluster	t1pks	PKSI
BGC0000154.1	BGC0000154.1	Stipitatic acid biosynthetic gene cluster	t1pks	PKSI
BGC0000155.1	BGC0000155.1	T-toxin biosynthetic gene cluster	t1pks	PKSI
BGC0000156.1	BGC0000156.1	TAN-1612 biosynthetic gene cluster	t1pks	PKSI
BGC0000157.1	BGC0000157.1	Tautomycetin biosynthetic gene cluster	t1pks	PKSI
BGC0000158.1	BGC0000158.1	Tautomycetin biosynthetic gene cluster	t1pks	PKSI
BGC0000159.1	BGC0000159.1	Tautomycin biosynthetic gene cluster	t1pks	PKSI
BGC0000160.1	BGC0000160.1	Terreic acid biosynthetic gene cluster	t1pks	PKSI
BGC0000161.1	BGC0000161.1	Terrein biosynthetic gene cluster	t1pks	PKSI
BGC0000162.1	BGC0000162.1	Tetrocarcin A biosynthetic gene cluster	t1pks	PKSI
BGC0000165.1	BGC0000165.1	Tiacumicin B biosynthetic gene cluster	t1pks	PKSI
BGC0000166.1	BGC0000166.1	Tylactone biosynthetic gene cluster	t1pks	PKSI
BGC0000167.1	BGC0000167.1	Vicenistatin biosynthetic gene cluster	t1pks	PKSI
BGC0000170.1	BGC0000170.1	Yanuthone D biosynthetic gene cluster	t1pks	PKSI
BGC0000257.1	BGC0000257.1	Prodigiosin biosynthetic gene cluster	t1pks	PKSI
BGC0000680.1	BGC0000680.1	Austinol/dehydroaustinol, locus 1 biosynthetic gene cluster	t1pks	PKSI
BGC0000682.1	BGC0000682.1	Terretonin biosynthetic gene cluster	t1pks	PKSI
BGC0000684.1	BGC0000684.1	Asperthecin biosynthetic gene cluster	t1pks	PKSI
BGC0000957.1	BGC0000957.1	Ansatrienin (mycotrienin) biosynthetic gene cluster	t1pks	PKSI
BGC0000978.1	BGC0000978.1	Cylindrospermopsin biosynthetic gene cluster	t1pks	PKSI
BGC0000979.1	BGC0000979.1	Cylindrospermopsin biosynthetic gene cluster	t1pks	PKSI
BGC0000980.1	BGC0000980.1	Cylindrospermopsin biosynthetic gene cluster	t1pks	PKSI
BGC0000981.1	BGC0000981.1	Cylindrospermopsin biosynthetic gene cluster	t1pks	PKSI
BGC0001006.1	BGC0001006.1	Lymphostin biosynthetic gene cluster	t1pks	PKSI
BGC0001007.1	BGC0001007.1	Lymphostin biosynthetic gene cluster	t1pks	PKSI
BGC0001030.1	BGC0001030.1	Ochratoxin A biosynthetic gene cluster	t1pks	PKSI
BGC0001060.1	BGC0001060.1	Dynemicin biosynthetic gene cluster	t1pks	PKSI
BGC0001063.1	BGC0001063.1	Undecylprodigiosin biosynthetic gene cluster	t1pks	PKSI
BGC0001067.1	BGC0001067.1	Fumagillin biosynthetic gene cluster	t1pks	PKSI
BGC0001068.1	BGC0001068.1	Pyripyropene A biosynthetic gene cluster	t1pks	PKSI
BGC0001118.1	BGC0001118.1	Endocrocin biosynthetic gene cluster	t1pks	PKSI
BGC0001119.1	BGC0001119.1	Divergolide biosynthetic gene cluster	t1pks	PKSI
BGC0001124.1	BGC0001124.1	Pyranonigrin E biosynthetic gene cluster	t1pks	PKSI
BGC0001141.1	BGC0001141.1	Brefeldin biosynthetic gene cluster	t1pks	PKSI
BGC0001143.1	BGC0001143.1	Azanigerone biosynthetic gene cluster	t1pks	PKSI
BGC0001158.1	BGC0001158.1	Bikaverin biosynthetic gene cluster	t1pks	PKSI
BGC0001159.1	BGC0001159.1	Marinopyrrole biosynthetic gene cluster	t1pks	PKSI
BGC0001160.1	BGC0001160.1	Nonadecene biosynthetic gene cluster	t1pks	PKSI
BGC0001161.1	BGC0001161.1	1-heptadecene biosynthetic gene cluster	t1pks	PKSI
BGC0001162.1	BGC0001162.1	1-heptadecene biosynthetic gene cluster	t1pks	PKSI
BGC0001163.1	BGC0001163.1	1-heptadecene biosynthetic gene cluster	t1pks	PKSI
BGC0001164.1	BGC0001164.1	1-heptadecene biosynthetic gene cluster	t1pks	PKSI
BGC0001169.1	BGC0001169.1	Piericidin A1 biosynthetic gene cluster	t1pks	PKSI
BGC0001172.1	BGC0001172.1	Chlorizidine A biosynthetic gene cluster	t1pks	PKSI
BGC0001190.1	BGC0001190.1	Fusaric acid biosynthetic gene cluster	t1pks	PKSI
BGC0001194.1	BGC0001194.1	Hitachimycin biosynthetic gene cluster	t1pks	PKSI
BGC0001199.1	BGC0001199.1	Akaeolide biosynthetic gene cluster	t1pks	PKSI
BGC0001200.1	BGC0001200.1	Lorneic acid A biosynthetic gene cluster	t1pks	PKSI
BGC0001204.1	BGC0001204.1	Versipelostatin biosynthetic gene cluster	t1pks	PKSI
BGC0001232.1	BGC0001232.1	Leucanicidin biosynthetic gene cluster	t1pks	PKSI
BGC0001242.1	BGC0001242.1	Fusarubin biosynthetic gene cluster	t1pks	PKSI
BGC0001243.1	BGC0001243.1	Botryenalol / botrydial / dihydrobotrydial / botryendial / beta-O-Methyl-dihydrobotrydialone / botcinic acid / botcinin A biosynthetic gene cluster	t1pks	PKSI
BGC0001244.1	BGC0001244.1	(-)-Mellein biosynthetic gene cluster	t1pks	PKSI
BGC0001245.1	BGC0001245.1	Lasiodiplodin biosynthetic gene cluster	t1pks	PKSI
BGC0001246.1	BGC0001246.1	Trans-resorcylide biosynthetic gene cluster	t1pks	PKSI
BGC0001247.1	BGC0001247.1	Cercosporin biosynthetic gene cluster	t1pks	PKSI
BGC0001252.1	BGC0001252.1	ACR-toxin biosynthetic gene cluster	t1pks	PKSI
BGC0001253.1	BGC0001253.1	ACT-Toxin I biosynthetic gene cluster	t1pks	PKSI
BGC0001254.1	BGC0001254.1	ACT-Toxin II biosynthetic gene cluster	t1pks	PKSI
BGC0001257.1	BGC0001257.1	1,3,6,8-tetrahydroxynaphthalene biosynthetic gene cluster	t1pks	PKSI
BGC0001258.1	BGC0001258.1	1,8-dihydroxynaphthalene biosynthetic gene cluster	t1pks	PKSI
BGC0001259.1	BGC0001259.1	Elsinochrome A biosynthetic gene cluster	t1pks	PKSI
BGC0001264.1	BGC0001264.1	Betaenone A / betaenone B / betaenone C biosynthetic gene cluster	t1pks	PKSI
BGC0001265.1	BGC0001265.1	Melanin biosynthetic gene cluster	t1pks	PKSI
BGC0001266.1	BGC0001266.1	Grayanic acid biosynthetic gene cluster	t1pks	PKSI
BGC0001272.1	BGC0001272.1	Elsinochrome B / elsinochrome C biosynthetic gene cluster	t1pks	PKSI
BGC0001273.1	BGC0001273.1	Asperlactone biosynthetic gene cluster	t1pks	PKSI
BGC0001275.1	BGC0001275.1	6-methylsalicyclic acid biosynthetic gene cluster	t1pks	PKSI
BGC0001276.1	BGC0001276.1	6-methylsalicyclic acid biosynthetic gene cluster	t1pks	PKSI
BGC0001280.1	BGC0001280.1	Betaenone C / betaenone A biosynthetic gene cluster	t1pks	PKSI
BGC0001281.1	BGC0001281.1	Ustilagic acid biosynthetic gene cluster	t1pks	PKSI
BGC0001283.1	BGC0001283.1	Arsenopolyketides biosynthetic gene cluster	t1pks	PKSI
BGC0001284.1	BGC0001284.1	Alternariol biosynthetic gene cluster	t1pks	PKSI
BGC0001287.1	BGC0001287.1	Chaxamycin A / chaxamycin B / chaxamycin C / chaxamycin D biosynthetic gene cluster	t1pks	PKSI
BGC0001288.1	BGC0001288.1	Maklamicin biosynthetic gene cluster	t1pks	PKSI
BGC0001296.1	BGC0001296.1	Streptazone E biosynthetic gene cluster	t1pks	PKSI
BGC0001298.1	BGC0001298.1	4-Z-annimycin biosynthetic gene cluster	t1pks	PKSI
BGC0001303.1	BGC0001303.1	Lobosamide biosynthetic gene cluster	t1pks	PKSI
BGC0001304.1	BGC0001304.1	Aflavarin biosynthetic gene cluster	t1pks	PKSI
BGC0001305.1	BGC0001305.1	Fujikurins biosynthetic gene cluster	t1pks	PKSI
BGC0001309.1	BGC0001309.1	Usnic acid biosynthetic gene cluster	t1pks	PKSI
BGC0001338.1	BGC0001338.1	Citrinin biosynthetic gene cluster	t1pks	PKSI
BGC0001340.1	BGC0001340.1	Byssochlamic acid biosynthetic gene cluster	t1pks	PKSI
BGC0001348.1	BGC0001348.1	JBIR-100 biosynthetic gene cluster	t1pks	PKSI
BGC0001349.1	BGC0001349.1	Heronamide biosynthetic gene cluster	t1pks	PKSI
BGC0001360.1	BGC0001360.1	Mycophenolic acid biosynthetic gene cluster	t1pks	PKSI
BGC0001377.1	BGC0001377.1	Uncialamycin biosynthetic gene cluster	t1pks	PKSI
BGC0001378.1	BGC0001378.1	Tiancimycin biosynthetic gene cluster	t1pks	PKSI
BGC0001381.1	BGC0001381.1	Brasilinolide biosynthetic gene cluster	t1pks	PKSI
BGC0001385.1	BGC0001385.1	Byssochlamic acid / agnestadrides biosynthetic gene cluster	t1pks	PKSI
BGC0001390.1	BGC0001390.1	LL-Z1272beta biosynthetic gene cluster	t1pks	PKSI
BGC0001396.1	BGC0001396.1	Aldgamycin biosynthetic gene cluster	t1pks	PKSI
BGC0001400.1	BGC0001400.1	Citreoviridin biosynthetic gene cluster	t1pks	PKSI
BGC0001403.1	BGC0001403.1	Trypacidin biosynthetic gene cluster	t1pks	PKSI
BGC0001404.1	BGC0001404.1	Sorbicillin biosynthetic gene cluster	t1pks	PKSI
BGC0001405.1	BGC0001405.1	Chaetoviridin / chaetomugilin biosynthetic gene cluster	t1pks	PKSI
